Key,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
6/24/2008,1,7,15,1,7,46.7,7,0,0,1,0,73.3
6/29/2008,1,19,31,1,19,61.3,19,0,0,0,0,45.2
1/31/2010,1,6,13,1,6,46.2,6,0,0,0,0,69.2
11/11/2011,1,4,7,0,,57.1,4,0,0,0,0,57.1
11/14/2011,1,24,37,1,24,64.9,24,0,0,1,0,51.4
11/18/2011,1,3,5,1,3,60,3,0,0,0,0,40
11/20/2011,1,10,17,1,10,58.8,10,0,0,0,0,52.9
12/1/2011,1,2,3,1,2,66.7,2,0,0,0,0,66.7
12/3/2011,1,12,14,0,,85.7,12,0,0,0,0,14.3
3/11/2012,1,19,28,0,,67.9,19,0,0,0,0,32.1
3/22/2012,1,46,52,0,,88.5,46,0,0,4,0,44.2
6/9/2012,1,20,27,1,20,74.1,20,0,0,2,0,51.9
6/16/2012,1,0,1,1,0,0,0,0,0,0,0,100
8/27/2013,1,7,18,1,7,38.9,7,0,0,0,0,61.1
8/31/2013,1,22,13,1,22,169.2,22,0,0,2,0,7.7
10/7/2014,1,34,41,1,34,82.9,34,0,0,3,1,58.5
10/10/2014,1,65,72,1,65,90.3,65,1,0,5,1,50
10/12/2014,1,32,39,1,32,82.1,32,0,0,2,0,41
12/8/2014,1,26,19,1,26,136.8,26,0,0,3,0,31.6
12/12/2014,1,23,31,1,23,74.2,23,0,0,0,0,29
12/14/2014,1,30,14,0,,214.3,30,0,0,4,1,7.1
12/17/2014,1,18,13,1,18,138.5,18,0,0,2,0,38.5
12/19/2014,1,26,24,1,26,108.3,26,0,0,2,0,25
1/31/2015,1,5,12,1,5,41.7,5,0,0,0,0,66.7
2/3/2015,1,13,12,1,13,108.3,13,0,0,1,0,33.3
3/7/2015,1,49,49,1,49,100,49,0,0,5,3,63.3
3/15/2015,1,101,124,0,,81.5,101,0,1,6,0,51.6
3/20/2015,1,10,16,1,10,62.5,10,0,0,1,0,68.8
4/17/2015,1,24,31,1,24,77.4,24,0,0,3,0,58.1
4/19/2015,1,7,11,1,7,63.6,7,0,0,0,0,36.4
5/29/2015,1,22,28,1,22,78.6,22,0,0,1,0,53.6
5/31/2015,1,25,23,1,25,108.7,25,0,0,3,0,43.5
7/15/2015,1,7,9,1,7,77.8,7,0,0,0,0,33.3
7/19/2015,1,77,74,1,77,104.1,77,1,0,7,0,32.4
7/22/2015,1,17,23,0,,73.9,17,0,0,1,0,52.2
7/26/2015,1,27,24,1,27,112.5,27,0,0,3,0,41.7
10/1/2015,1,44,59,1,44,74.6,44,0,0,3,0,52.5
10/3/2015,1,9,14,1,9,64.3,9,0,0,1,0,57.1
11/13/2015,1,64,76,1,64,84.2,64,1,0,3,0,40.8
11/17/2015,1,26,26,1,26,100,26,0,0,3,0,38.5
11/20/2015,1,24,26,1,24,92.3,24,0,0,2,0,34.6
1/25/2016,1,30,29,1,30,103.4,30,0,0,3,0,31
1/31/2016,1,41,50,1,41,82,41,0,0,5,0,52
8/18/2016,1,2,7,1,2,28.6,2,0,0,0,0,71.4
8/24/2016,1,55,58,1,55,94.8,55,1,0,3,0,31
8/27/2016,1,105,130,1,105,80.8,105,0,1,6,0,40.8
8/30/2016,1,38,43,1,38,88.4,38,0,0,5,0,55.8
9/1/2016,1,12,23,1,12,52.2,12,0,0,0,0,56.5
9/4/2016,1,90,73,1,90,123.3,90,1,0,10,1,31.5
9/30/2016,1,35,45,1,35,77.8,35,0,0,1,0,37.8
10/2/2016,1,60,47,0,,127.7,60,1,0,7,0,25.5
10/5/2016,1,24,25,0,,96,24,0,0,1,0,24
4/7/2017,1,20,13,0,,153.8,20,0,0,2,0,7.7
4/9/2017,1,26,26,1,26,100,26,0,0,3,0,38.5
4/11/2017,1,24,26,0,,92.3,24,0,0,1,0,26.9
6/4/2017,1,15,16,1,15,93.8,15,0,0,2,0,50
6/12/2017,1,61,79,0,,77.2,61,1,0,5,0,50.6
10/13/2017,1,1,3,1,1,33.3,1,0,0,0,0,66.7
